body_type,km,ownerno,brand,model,modelyear,price_in_lakh,insurance_validity,fuel_type,seats,transmission,top_features_count,comfort_count,safety_count,mileage,color,displacement,city
Hatchback,120000,3,Maruti,Maruti Celerio,2015,4.0,Third Party insurance,Petrol,5,Manual,8,10,13,23.1,White,998,Bangalore
SUV,32706,2,Ford,Ford Ecosport,2018,8.11,Comprehensive,Petrol,5,Manual,9,17,27,19.095,White,1497,Bangalore
Hatchback,11949,1,Tata,Tata Tiago,2018,5.85,Comprehensive,Petrol,5,Manual,9,14,24,23.84,Red,1199,Bangalore
Sedan,17794,1,Hyundai,Hyundai Xcent,2014,4.62,Comprehensive,Petrol,5,Manual,9,16,18,19.1,Others,1197,Bangalore
SUV,60000,1,Maruti,Maruti SX4 S Cross,2015,7.9,Third Party insurance,Diesel,5,Manual,9,21,22,23.65,Gray,1248,Bangalore
SUV,20000,1,Jeep,Jeep Compass,2020,19.0,Third Party insurance,Diesel,5,Manual,9,13,22,17.1,Others,1956,Bangalore
Hatchback,37772,1,Datsun,Datsun GO,2017,3.45,Comprehensive,Petrol,5,Manual,9,11,17,20.63,Grey,1198,Bangalore
SUV,30000,1,Hyundai,Hyundai Venue,2021,12.0,Third Party insurance,Petrol,5,Automatic,9,20,31,18.15,Others,998,Bangalore
Sedan,37000,1,Maruti,Maruti Ciaz,2018,9.6,Comprehensive,Petrol,5,Automatic,9,22,29,20.28,Maroon,1462,Bangalore
Hatchback,11949,1,Tata,Tata Tiago,2017,5.85,Comprehensive,Petrol,5,Manual,9,14,24,23.84,Red,1199,Bangalore
Hatchback,50000,1,Maruti,Maruti Baleno,2018,6.9,Third Party insurance,Petrol,5,Manual,9,11,24,21.4,Red,1197,Bangalore
Hatchback,24887,1,Hyundai,Hyundai Grand i10,2019,6.82,Third Party insurance,Petrol,5,Automatic,9,15,24,18.9,Orange,1197,Bangalore
Hatchback,23000,1,Honda,Honda Jazz,2018,8.25,Comprehensive,Petrol,5,Automatic,9,21,25,18.2,Grey,1199,Bangalore
Hatchback,48928,1,Tata,Tata Tiago,2018,5.95,Comprehensive,Petrol,5,Automatic,9,17,24,23.84,Red,1199,Bangalore
SUV,108862,3,Mahindra,Mahindra XUV500,2014,6.9,Comprehensive,Diesel,7,Manual,9,17,20,15.1,Silver,2179,Bangalore
SUV,80000,1,Jeep,Jeep Compass,2018,13.5,Third Party insurance,Diesel,5,Manual,9,14,23,17.1,Others,1956,Bangalore
SUV,16000,1,Mercedes-Benz,Mercedes-Benz GLA,2022,55.95,Comprehensive,Diesel,5,Automatic,9,26,33,19.095,Blue,1950,Bangalore
Hatchback,65376,2,Hyundai,Hyundai i20,2014,5.21,Comprehensive,Diesel,5,Manual,9,11,20,21.27,Blue,1396,Bangalore
SUV,10000,1,Tata,Tata Nexon,2022,10.05,Third Party insurance,Petrol,5,Manual,9,14,23,17.33,Others,1199,Bangalore
Sedan,67000,2,Honda,Honda City,2016,7.75,Comprehensive,Petrol,5,Manual,9,17,23,17.8,Brown,1497,Bangalore
Sedan,100000,3,BMW,BMW 5 Series,2011,22.0,Third Party insurance,Diesel,5,Automatic,9,19,27,18.48,White,1995,Bangalore
Hatchback,18083,1,Maruti,Maruti Swift,2016,5.82,Comprehensive,Petrol,5,Manual,9,11,26,22.38,Silver,1197,Bangalore
SUV,30000,1,Renault,Renault Duster,2020,10.9,Third Party insurance,Petrol,5,Manual,9,15,23,16.42,Others,1498,Bangalore
Hatchback,57634,2,Tata,Tata Tiago,2016,4.57,Comprehensive,Petrol,5,Manual,9,14,24,23.84,Silver,1199,Bangalore
Sedan,50000,2,Mercedes-Benz,Mercedes-Benz S-Class,2016,49.0,Third Party insurance,Petrol,5,Automatic,9,25,29,7.81,Others,4663,Bangalore
Sedan,110000,1,Honda,Honda City,2015,5.5,Third Party insurance,Petrol,5,Manual,9,17,23,17.4,Others,1497,Bangalore
Hatchback,23447,1,Hyundai,Hyundai Santro,2018,5.7,Comprehensive,Petrol,5,Automatic,9,13,23,20.3,Yellow,1086,Bangalore
Hatchback,30000,2,Hyundai,Hyundai Santro Xing,2009,2.2,Third Party insurance,LPG,5,Manual,9,8,16,13.45,Others,1086,Bangalore
Sedan,33000,1,Mercedes-Benz,Mercedes-Benz E-Class,2017,41.45,Comprehensive,Petrol,5,Automatic,9,31,37,19.095,White,1991,Bangalore
SUV,87667,2,Mahindra,Mahindra XUV500,2014,8.61,Third Party insurance,Diesel,7,Manual,9,17,20,15.1,Black,2179,Bangalore
Sedan,40000,2,Audi,Audi A4,2016,17.85,Third Party insurance,Diesel,5,Automatic,9,20,30,17.11,Others,1968,Bangalore
SUV,79012,2,Mahindra,Mahindra XUV500,2014,8.03,Comprehensive,Diesel,7,Manual,9,17,22,15.1,Silver,2179,Bangalore
SUV,31344,1,Jeep,Jeep Compass,2021,25.65,Comprehensive,Diesel,5,Manual,9,25,38,17.1,Black,1956,Bangalore
Sedan,50000,1,Hyundai,Hyundai Xcent,2018,6.74,Third Party insurance,Petrol,5,Manual,9,21,29,20.14,Others,1197,Bangalore
Hatchback,12434,1,Maruti,Maruti Wagon R,2015,3.49,Comprehensive,Petrol,5,Manual,9,11,17,20.51,Brown,998,Bangalore
MUV,60000,2,Maruti,Maruti Ertiga,2019,10.5,Third Party insurance,Petrol,7,Manual,9,19,27,19.34,Others,1462,Bangalore
Sedan,12000,1,Mercedes-Benz,Mercedes-Benz C-Class,2019,44.25,Comprehensive,Diesel,5,Automatic,9,32,34,12.6,White,1950,Bangalore
Hatchback,40987,2,Maruti,Maruti Wagon R,2015,4.06,Comprehensive,Petrol,5,Manual,9,11,17,20.51,White,998,Bangalore
Sedan,18157,1,BMW,BMW 5 Series,2020,49.65,Zero Dep,Petrol,5,Automatic,9,30,36,15.56,Blue,1998,Bangalore
SUV,120000,3,Toyota,Toyota Fortuner,2011,11.0,Third Party insurance,Diesel,7,Manual,9,17,24,11.5,Others,2982,Bangalore
